id,type,category,date,title,summary,details,location,status
1,NEWS,館方快訊,2025/1/16,海龜復育計畫成果展,見證海龜寶寶的重返大海,本館海龜復育計畫喜獲成功！經過半年的細心照顧，5隻綠蠵龜寶寶已經成功成長，即將重返大海。本週末將舉行特別展示，讓大家近距離認識這些可愛的海龜寶寶，了解海龜保育的重要性。,淺水區,active
2,NEWS,館方快訊,2025/1/15,全新「珊瑚王國」展區開幕！,帶你潛入繽紛的珊瑚世界,親愛的海洋朋友們，太平洋珊瑚王國展區正式開幕啦！這裡有超過50種色彩繽紛的珊瑚，還有數百隻熱帶魚在珊瑚間游來游去。展區特別設計了海底隧道，讓大家感受被魚群環繞的奇妙體驗！此外，每個珊瑚展示區都配備了生動有趣的互動螢幕，點擊就能了解珊瑚的祕密生活！,深水區,active
3,NEWS,館方快訊,2025/1/14,「海洋保衛隊」會員招募開始,加入我們的海洋保育行動,想要成為海洋的守護者嗎？海洋保衛隊現在開始招募新成員！加入後可以參與海龜救援行動、海灘清潔活動，還能近距離觀察海洋生物！會員還可以獲得特製隊徽、專屬手冊，以及參加每月的特別活動。一起來守護美麗的海洋吧！,淺水區,active
4,NEWS,館方快訊,2025/1/12,企鵝寶寶報到！歡迎來看可愛新成員,南極館喜迎新生命,好消息！我們的帝王企鵝家族喜獲新成員啦！在專業飼育員的細心照顧下，企鵝寶寶健康成長中。牠現在最喜歡跟著爸媽搖搖晃晃地散步，萌樣讓人忍不住想要一直看著牠！歡迎大家來跟這個可愛的小傢伙打招呼。,企鵝區,active
5,NEWS,館方快訊,2025/1/11,夜宿海生館活動預告,與海洋生物共度奇幻之夜,想知道夜晚的海生館是什麼樣子嗎？本館推出「月光海洋夜未眠」活動！參加者可以體驗夜間餵食秀、觀察夜行性海洋生物，還能在水族箱前搭帳篷過夜，享受前所未有的海洋奇遇！,深水區,active
6,NEWS,館方快訊,2025/1/10,海洋科學實驗室開幕,動手做實驗，了解海洋科學,全新的海洋科學實驗室正式啟用！這裡設置了水質檢測區、顯微鏡觀察站、海洋生物解剖教室等。每週都會舉辦不同主題的實驗課程，讓大家透過親身操作了解海洋科學的奧秘。,淺水區,active
7,ACTIVITY,科教活動,2025/1/15,珊瑚生態探索工作坊,認識珊瑚的奧秘,配合珊瑚王國展區開幕，特別舉辦珊瑚生態探索工作坊！參加者可以使用顯微鏡觀察珊瑚結構，了解珊瑚礁生態系統，還能製作專屬的珊瑚模型帶回家！活動時間：13:00-15:00。,深水區,active
8,ACTIVITY,科教活動,2025/1/14,海龜守護者計畫,參與海龜保育工作,加入海龜守護者的行列！本活動將帶領大家認識海龜生態、了解海龜面臨的威脅，並實際參與海龜救援工作。完成培訓還能獲得海龜守護者證書！,淺水區,active
9,REPORT,相關報導,2025/1/15,海生館珊瑚復育計畫獲國際肯定,創新復育技術成功拯救瀕危珊瑚,本館珊瑚復育計畫在國際海洋保育研討會上受到高度關注。專家表示，本館開發的珊瑚培育技術不僅成功率高，更具有推廣價值，對全球珊瑚保育工作有重大貢獻。,深水區,active
10,REPORT,相關報導,2025/1/14,海洋環境教育典範：專訪海生館館長,創新教學方式獲教育部肯定,本館創新的海洋教育方式獲得教育部年度教學卓越獎。館長表示，透過互動科技與實體體驗的結合，能更有效地培養下一代的海洋意識。,深水區,active
